row_id,noise_distribution,slope,m,k,opt
e990131a-77b7-4b87-8611-221ad61367ca,"uniform(-1,1)",0,3,5,-0.001796456453374222
695c509f-8ce4-4dd4-a6b0-1a367ad281b5,"uniform(-1,1)",0,3,20,-1.0076132794068632e-05
56718251-ac86-4f56-aae5-112a4c8a4842,"uniform(-1,1)",1,3,5,0.0011401439427330684
55bd7f97-23ea-4aec-abe1-7b3de669724b,"uniform(-1,1)",1,3,20,4.300753745467567e-06
dbfe7e08-beab-441b-acf1-0589bc82c350,"uniform(-1,1)",5,3,5,-0.0008277513617342969
504a3c3c-97c0-4fca-8a07-574fb8b4abe2,"uniform(-1,1)",5,3,20,5.398367591835651e-07
00b11046-95f5-493d-b737-5e140a85d5b8,"normal(0,.5^2)",0,3,5,0.0014736586914375488
1b718e12-64ac-47af-ab54-6c9cc8271805,"normal(0,.5^2)",0,3,20,-4.4543966518373335e-06
1e632c72-ab10-4877-850c-619438a3beaa,"normal(0,.5^2)",1,3,5,-0.0015485677725935593
76bcabf8-6ced-4f4c-8e0e-b5fea962e401,"normal(0,.5^2)",1,3,20,-8.231108580697422e-06
e0a38a32-0997-4dad-94ee-9f7e624f98a0,"normal(0,.5^2)",5,3,5,-9.058069766076926e-05
4e3ac287-2981-4914-8abb-f1b2293ee276,"normal(0,.5^2)",5,3,20,2.010797047136137e-05
630779c0-8a2c-4d6b-996c-97306bfb22af,beta(2-2)-mirrored,0,3,5,-0.001153336590604126
044e427d-d491-432f-aee7-e0a15c79cba9,beta(2-2)-mirrored,0,3,20,2.477875754530734e-05
a2668983-9fe4-4c95-98cb-da7d498d75bd,beta(2-2)-mirrored,1,3,5,4.8199904214119016e-05
ba3089e0-5de9-468e-a209-f03fc8bc6307,beta(2-2)-mirrored,1,3,20,6.029495975454213e-05
36254852-4f31-4a7e-a8e7-e90e5641814b,beta(2-2)-mirrored,5,3,5,-0.003019362576206497
d12951eb-5099-46d7-92d5-32d24573c47d,beta(2-2)-mirrored,5,3,20,-1.4368706016565369e-05
be179970-ee47-4173-9ff7-1c716e4ba277,power-law(2)-mirrored,0,3,5,0.0003222261336692095
04690732-f772-425d-b799-fc6e1462a94d,power-law(2)-mirrored,0,3,20,5.335931186833953e-05
be9f94d6-08f6-466e-95d9-52767e9ee9b2,power-law(2)-mirrored,1,3,5,0.00583358921929647
e444508b-16d1-4366-b7ff-c6ecebd8a1b0,power-law(2)-mirrored,1,3,20,-2.0358162180267314e-05
2bbbbc84-e857-476b-9cd9-204a74649e22,power-law(2)-mirrored,5,3,5,-0.000635310290599822
e88a8b14-5d27-4cb7-bff4-fd87cc113101,power-law(2)-mirrored,5,3,20,-9.422078743981377e-05
b432a25e-7134-495d-ad7c-cc7c77d85b04,"uniform(-1,1)",0,3,5,0.0019568037715131954
abc18f1e-1ee3-471c-84a9-085236d60748,"uniform(-1,1)",0,3,20,-2.485247010020064e-06
f165157a-0a19-4cfa-b9ef-fb1f9633d78c,"uniform(-1,1)",1,3,5,-0.0022976361944013757
d6a82efe-aa88-43ee-b861-f994a46eea0a,"uniform(-1,1)",1,3,20,8.678869865330618e-06
25c86773-ec81-481e-b601-90a2aa932528,"uniform(-1,1)",5,3,5,0.00038311886797581796
6a0bd9fd-0622-4bf4-bfe7-2e49d29c84e7,"uniform(-1,1)",5,3,20,2.0642758782329906e-06
2edd1377-bd8b-4622-83af-3714dfd72bdd,"normal(0,.5^2)",0,3,5,0.0009443040333019792
4880d1a0-19e7-42b6-86ed-86e81716dd9f,"normal(0,.5^2)",0,3,20,-1.810906213692287e-06
95f3442a-011c-4afb-b122-f7b4324add43,"normal(0,.5^2)",1,3,5,-4.337807888055156e-05
2ae92cf8-23ad-4a2d-b41f-90db6ca329b4,"normal(0,.5^2)",1,3,20,-1.9701973555386054e-06
b8bd895d-5d97-4e55-91f2-d8a13be71e00,"normal(0,.5^2)",5,3,5,-0.0009127037344160982
e0606a5a-102d-4c1d-880d-2b7e0eef373f,"normal(0,.5^2)",5,3,20,-6.312146974885025e-05
b2840204-7823-4edf-89e1-c8d38bcf5ba9,beta(2-2)-mirrored,0,3,5,-0.000374380547374098
a1c53667-9244-4b10-b541-efce0d2c2038,beta(2-2)-mirrored,0,3,20,1.0978448518217387e-05
8e6e1316-58df-4689-b1ad-c10e788db862,beta(2-2)-mirrored,1,3,5,-0.0016603162024161344
230bcd7f-4977-4f44-817c-f1653e61cb1d,beta(2-2)-mirrored,1,3,20,-6.561847841701773e-06
c1d97e99-7448-48d9-85ec-05b838ee2574,beta(2-2)-mirrored,5,3,5,-0.0010077061656453834
c8b57f69-45d2-466b-aea9-6f3e51db88d6,beta(2-2)-mirrored,5,3,20,2.4040311237705225e-05
7934098e-0a55-4c07-a4a7-33ec65af2836,power-law(2)-mirrored,0,3,5,0.006883305213086312
aefc97f0-59ab-486a-843c-f0165b911d50,power-law(2)-mirrored,0,3,20,1.2221446741705888e-05
5e9cbcf7-37a0-47a4-9869-abec2fe6dad2,power-law(2)-mirrored,1,3,5,-0.0020143449992915397
fea307d8-9072-454b-95bb-fe57f8aad839,power-law(2)-mirrored,1,3,20,-2.4749194352691184e-05
107bae1a-dff8-47d5-836b-05f974982ebf,power-law(2)-mirrored,5,3,5,-0.0016517288465853763
1a4aceba-f98a-420e-a3f2-ed8149e23eaf,power-law(2)-mirrored,5,3,20,-6.375361114729916e-05
